start_time,r2,cup_depth,cup_duration,handle_duration,handle_retrace_ratio,breakout_strength_pct,volume_slope,breakout_volume,label
2024-01-01 01:47:00,0.8514549629736249,401.0929159520092,264,50,0.38918662931128883,0.001271126594793089,-0.11038917447993904,152.879,0
2024-01-01 01:46:00,0.8540619116686209,404.575344020428,265,50,0.38583666134661104,0.001271126594793089,-0.1086826181417079,152.879,0
2024-01-01 01:45:00,0.8564957351084941,407.78834164067666,266,50,0.3827966228067067,0.001271126594793089,-0.11351213939594917,152.879,0
2024-01-01 01:44:00,0.8589197452053949,411.0803622336898,267,50,0.3797311045261249,0.001271126594793089,-0.11324725397697194,152.879,0
2024-01-01 01:43:00,0.861313216960016,414.4143372358085,268,50,0.3766761571069273,0.001271126594793089,-0.11348676690894967,152.879,0
2024-01-01 01:42:00,0.8637442081556195,417.9842709623481,269,50,0.37345902906968476,0.001271126594793089,-0.11491095259651486,152.879,0
2024-01-01 01:41:00,0.866178886237642,421.8254694546922,270,50,0.3700582617777779,0.001271126594793089,-0.145124716011866,152.879,0
2024-01-01 01:40:00,0.8683244584814156,424.97467983506795,271,50,0.36731600118054264,0.001271126594793089,-0.1683408990618672,152.879,0
2024-01-01 01:39:00,0.8706240597783093,428.5897301228688,272,50,0.3642177799156493,0.001271126594793089,-0.17574685168845755,152.879,0
2024-01-01 01:38:00,0.872812840925053,433.1944333039719,273,50,0.36034627409550163,0.001271126594793089,-0.27089354178668046,152.879,0
2024-01-01 01:37:00,0.8748879766384314,436.47733775716915,274,50,0.3576359789997702,0.001271126594793089,-0.3136147704913303,152.879,0
2024-01-01 01:36:00,0.8761106034003189,438.79152569166763,275,50,0.3557498056826369,0.001271126594793089,-0.37081999286539863,152.879,0
2024-01-01 01:35:00,0.8750427026094625,439.70120075340674,276,50,0.35501381331806403,0.001271126594793089,-0.3864310437695988,152.879,0
2024-01-01 01:34:00,0.8712955039267058,439.49179544449726,277,50,0.355182967277286,0.001271126594793089,-0.38649241631499737,152.879,0
2024-01-01 01:33:00,0.8680385606982853,439.40690802195604,278,50,0.3552515837830174,0.001271126594793089,-0.38890128855440975,152.879,0
2024-01-01 01:32:00,0.8638551767128898,438.946866359438,279,50,0.3556239079564901,0.001271126594793089,-0.39132007614893055,152.879,0
2024-01-01 01:31:00,0.8576485263389491,437.79498729025363,280,50,0.3565595873223323,0.001271126594793089,-0.3844254253696631,152.879,0
2024-01-03 10:18:00,0.85026816799576,3816.6748381694197,285,50,0.04441038526648416,0.01861959391574573,-2.887322790688133,5514.079,0
2024-01-03 10:17:00,0.850702527484842,3827.105866227779,286,50,0.04428934184856224,0.01861959391574573,-2.7782623438553298,5514.079,0
2024-01-03 10:16:00,0.8511482954859529,3837.6537942978903,287,50,0.04416761101583696,0.01861959391574573,-2.6700426615768253,5514.079,0
2024-01-03 10:15:00,0.8516434994146422,3848.595849475816,288,50,0.04404203679196041,0.01861959391574573,-2.5698177932227653,5514.079,0
2024-01-03 10:14:00,0.8520038938006632,3858.611020900571,289,50,0.04392772401309318,0.01861959391574573,-2.4677892397752883,5514.079,0
2024-01-03 10:13:00,0.8524340786721425,3869.182431100431,290,50,0.04380770434538354,0.01861959391574573,-2.3657149647672986,5514.079,0
2024-01-03 10:12:00,0.8527859123794346,3879.240967906713,291,50,0.043694114751387646,0.01861959391574573,-2.2714299668921276,5514.079,0
2024-01-03 10:11:00,0.8530312452326165,3888.58534145906,292,50,0.04358911663654034,0.01861959391574573,-2.1752905279368284,5514.079,0
2024-01-03 10:10:00,0.8531912451568325,3897.372059712943,293,50,0.04349084393356182,0.01861959391574573,-2.0777519582368735,5514.079,0
2024-01-03 10:09:00,0.8534183725206135,3906.660312553715,294,50,0.04338744258243452,0.01861959391574573,-1.9843091229070642,5514.079,0
2024-01-03 10:08:00,0.853558003527181,3915.3848018365097,295,50,0.043290764146731144,0.01861959391574573,-1.8932368395359904,5514.079,0
2024-01-03 10:07:00,0.8535659457608948,3923.2559646147274,296,50,0.04320391061118167,0.01861959391574573,-1.8010356943276407,5514.079,0
2024-01-03 10:06:00,0.8536267168723103,3931.5210281557884,297,50,0.043113084932299005,0.01861959391574573,-1.715185093737764,5514.079,0
